Categoria,Referencia_Local,Valor,Montaje,Cantidad
IC,MIC1,Primo_EM289,THT,1
IC,MIC2,Primo_EM289,THT,1
IC,MIC3,Primo_EM289,THT,1
RESISTOR,R_MIC1_BIAS,33k,THT,1
RESISTOR,R_MIC2_BIAS,33k,THT,1
RESISTOR,R_MIC3_BIAS,33k,THT,1
CAPACITOR,C_MIC1_AC,100nF,THT,1
CAPACITOR,C_MIC2_AC,100nF,THT,1
CAPACITOR,C_MIC3_AC,100nF,THT,1
RESISTOR,R_MIC1_SUM,10k,THT,1
RESISTOR,R_MIC2_SUM,10k,THT,1
RESISTOR,R_MIC3_SUM,10k,THT,1
OPAMP,U1_OPA1642,OPA1642,SMD,1
OPAMP,U2_TLE2072,TLE2072,THT,1
RESISTOR,R_SUM_FB,30k,THT,1
RESISTOR,R_INV_IN,10k,THT,1
RESISTOR,R_INV_FB,10k,THT,1
POTENCIOMETRO,RV_VOL,POT_10K,THT,1
RESISTOR,R_LPF,3.3k,THT,1
CAPACITOR,C_LPF,3.3nF,THT,1
RESISTOR,R_BAL_HOT,470,THT,1
RESISTOR,R_BAL_COLD,470,THT,1
CAPACITOR,C_BLOCK_HOT,47uF,THT,1
CAPACITOR,C_BLOCK_COLD,47uF,THT,1
XLR,XLR_OUT,NC3MAH,THT,1
RESISTOR,R_PH1_EXTRACT,220,THT,1
RESISTOR,R_PH2_EXTRACT,220,THT,1
DIODO,D_ZENER_12V,1N4742A,THT,1
CAPACITOR,C_FILTER_12V,100uF,THT,1
CAPACITOR,C_VBIAS_FILTER,10uF,THT,1
RESISTOR,R_VBIAS_TOP,100k,THT,1
RESISTOR,R_VBIAS_BOT,100k,THT,1
SWITCH,SW_GROUND_LIFT,SPDT,THT,1
RESISTOR,R_GLIFT,100,THT,1
CAPACITOR,C_GLIFT,10nF,THT,1
CAPACITOR,C_DEC_HF1,100nF,THT,1
CAPACITOR,C_DEC_HF2,100nF,THT,1
INDUCTOR,FB_HOT,600R,THT,1
INDUCTOR,FB_COLD,600R,THT,1
TRANSISTOR,Q_MUTE,J111,THT,1
RESISTOR,R_GATE_MUTE,1Meg,THT,1
CAPACITOR,C_GATE_MUTE,1uF,THT,1
