Categoria,Referencia_Local,Valor,Montaje,Cantidad,LCSC,Footprint_JLC,Z_Height
IC,MIC1,Primo_EM289,THT,1,1518112,0402,N/A
IC,MIC2,Primo_EM289,THT,1,1518862,0402,N/A
IC,MIC3,Primo_EM289,THT,1,19416270,MLF-24(4x4),N/A
RESISTOR,R_MIC1_BIAS,33k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_MIC2_BIAS,33k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_MIC3_BIAS,33k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_MIC1_AC,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_MIC2_AC,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_MIC3_AC,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_MIC1_SUM,10k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_MIC2_SUM,10k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_MIC3_SUM,10k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
OPAMP,U1_OPA1642,OPA1642,SMD,1,201728,SOIC-8,N/A
OPAMP,U2_TLE2072,TLE2072,THT,1,1346615,PDIP-8,N/A
RESISTOR,R_SUM_FB,30k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_INV_IN,10k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_INV_FB,10k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
POTENCIOMETRO,RV_VOL,POT_10K,THT,1,9900191282,TS-1902A,N/A
RESISTOR,R_LPF,3.3k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_LPF,3.3nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_BAL_HOT,470,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_BAL_COLD,470,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_BLOCK_HOT,47uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_BLOCK_COLD,47uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
XLR,XLR_OUT,NC3MAH,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_PH1_EXTRACT,220,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_PH2_EXTRACT,220,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
DIODO,D_ZENER_12V,1N4742A,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_FILTER_12V,100uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_VBIAS_FILTER,10uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_VBIAS_TOP,100k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_VBIAS_BOT,100k,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
SWITCH,SW_GROUND_LIFT,SPDT,THT,1,9900269083,Through hole,N/A
RESISTOR,R_GLIFT,100,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_GLIFT,10nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_DEC_HF1,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_DEC_HF2,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
INDUCTOR,FB_HOT,600R,THT,1,9900252612,Through hole,N/A
INDUCTOR,FB_COLD,600R,THT,1,9900137570,L0402,N/A
TRANSISTOR,Q_MUTE,J111,THT,1,274642,TO-92-3L,N/A
RESISTOR,R_GATE_MUTE,1Meg,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_GATE_MUTE,1uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
